company_name,job_title,location,num_applicants
Stripe,Data Analyst,"New York, United States",3 days ago
Talkspace,Data Analyst,"New York, NY",1 day ago
MailOnline,Data Analyst,"New York, NY",1 week ago
Tandym Group,Data Analyst,"New York, NY",1 week ago
TripleLift,Senior Data Analyst,"New York, NY",1 week ago
Eataly,BI Data Analyst,"New York, NY",1 month ago
Parfums Christian Dior,Senior Data Analyst,"New York, United States",1 week ago
257,Sr. Data Analyst,"New York, NY",1 month ago
doola,Data Analyst (Remote),"New York, NY",2 months ago
Consumer Legal Group,Data Analyst,"New York, NY",4 weeks ago
Russell Tobin,Data Analyst,"New York, NY",1 month ago
Saragossa,Quantitative Researcher,"New York, NY",2 weeks ago
1872 Consulting,Data Analyst,"New York, NY",3 months ago
A-Line Staffing Solutions,Data Analyst,"New York, NY",2 weeks ago
ICM Controls,Manufacturing Data Analyst,"Syracuse, NY",3 days ago
Children's Aid,Data Analyst,"Manhattan, NY",2 months ago
Diverse Lynx,Data Analyst,"New York, NY",2 months ago
Genesis10,Data analyst/SQL/Bigdata,"New York, NY",3 days ago
COTA,Research Data Analyst,"New York, NY",3 weeks ago
Tremendous,"Senior Data Analyst, Product","New York, NY",1 month ago
DeepIntent,Senior Data Analyst,"New York, NY",3 days ago
Marsh McLennan Agency,Finance Data Analyst,"White Plains, NY",1 month ago
NYS Office of General Services,Data Analyst 2 (VID 156485),"New York, NY",1 day ago
Albert Einstein College of Medicine,Data Analyst,"Bronx, NY",1 month ago
Fund for Public Health in NYC,Data Equity Analyst,"New York, NY",6 days ago
WayUp,"Analyst, Data Science","New York, NY",1 month ago
iTech Solutions,Data Analyst II,"New York, NY",8 months ago
,,,
,,,
Stripe,"Financial Data Analyst, Revenue Foundations","New York, United States",3 days ago
Creative Financial Staffing (CFS),Data Analyst,"New York, NY",1 month ago
New York State Department of Health,Data Analyst 3 - 61608,"Albany, NY",1 week ago
Open Systems Technologies,Data Engineer,"New York, NY",3 days ago
Canonical,People Data Analyst,"Buffalo, NY",1 day ago
A Place for Mom,"Senior Analyst, Data & Analytics","New York, NY",1 month ago
Cedar,Data Scientist II (Product Analyst),"New York, NY",2 months ago
Canonical,People Data Analyst,"Albany, NY",1 day ago
,,,
,,,
EnergyHub,Data Engineering Intern,"Brooklyn, NY",1 week ago
New Fortress Energy,Master Data Management Analyst,"New York, NY",1 week ago
The Tie,Data Engineer (Crypto),"New York, NY",1 week ago
Get It Recruit - Executive,Data Quality Analyst,"New York, NY",2 weeks ago
ŌURA,Senior Business Intelligence Analyst,"New York, NY",1 month ago
DeRisk Technologies,Data Centre Engineer,"New York, NY",10 months ago
Marlee (Fingerprint For Success),Expression of Interest: Data Engineer,"New York, NY",3 weeks ago
Phaxis,People Analytics Data Science & Reporting Analyst,"New York, NY",2 weeks ago
NYC Department of Health and Mental Hygiene,"Data Analyst, Bureau of Environmental Sciences and Engineering","Queens, NY",1 month ago
Polymer Labs,Sr. Business Intelligence Analyst,"New York, United States",1 month ago
UBS,Quantitative Analyst,"New York, NY",1 day ago
,,,
Comity,Quantitative Researcher (Power),"New York, NY",2 weeks ago
CW Talent Solutions,Quantitative Researcher,"New York, United States",1 day ago
Olgoonik Corporation,Entry-Level Geographic Information Systems (GIS) Analyst,"Oneida, NY",2 months ago
FTI Consulting,"As Needed Digital Analyst, Digital & Insights","New York, NY",
CGS Federal (Contact Government Services),Technical Analyst (Data Analytics),"Albany, NY",1 week ago
Anteriad,SQL Developer,"Rye Brook, NY",1 day ago
MindPal,Data Engineer,"New York, United States",8 months ago
M&T Bank,Senior Business Analytics & Reporting Analyst,"Buffalo, NY",1 day ago
Accolite,Data Engineer with Hedge Fund experience - Onsite in NYC,"New York, United States",2 weeks ago
Heritage Financial Credit Union,Lending Systems Analyst,"Middletown, NY",2 weeks ago
IT Minds LLC,Data Developer,"Brooklyn, NY",
Chronograph,Private Equity Data Operations Analyst,"Brooklyn, NY",3 weeks ago
Public Consulting Group,Healthcare Data Analyst - OQPS 1002,"Albany, NY",1 year ago
smartdept.,Google Analytics Specialist,"New York, NY",4 weeks ago
Jack Morton Worldwide,Strategy & Analytics Intern - New York,"New York, NY",1 month ago
Brooklyn Investment Group,Quantitative Research Analyst,"Brooklyn, NY",7 months ago
Marvica technologies,Lead Data Governance Analyst,"New York, United States",2 days ago
,,,
Parker,Data Engineer,"New York, NY",3 days ago
Perennial Resources International,Data Engineer,"New York, NY",2 months ago
NAVA Software Solutions,Lead Data Governance Analyst,"Rensselaer, NY",2 days ago
Citarella - The Ultimate Gourmet Market,Reporting Analyst,"New York, NY",1 week ago
AI TalentFlow,Databricks Engineer,"New York, NY",1 week ago
Manhattan District Attorney's Office,Cybercrime Intelligence Analyst,"New York, NY",1 week ago
,,,
Airtable,Analytics Engineer,"New York, NY",1 week ago
,,,
,,,
,,,
Aditi Consulting,Lead Data/Reporting Analyst L5,"New York, NY",1 month ago
,,,
,,,
,,,
Point72,"Macro Quantitative Researcher, Trading Research","New York, United States",1 year ago
,,,
SIDEARM Sports,Web Analytics Specialist,"Syracuse, NY",1 month ago
,,,
,,,
,,,
