company_name,job_title,location,num_applicants
TikTok,TikTok Shop - Data Analyst,"San Jose, CA",2 months ago
Skan,Data Analyst,"Menlo Park, CA",1 month ago
Zortech Solutions,"Data Analyst-SQL, Tableau","Mountain View, CA",4 months ago
Zortech Solutions,"Data Analyst-SQL, Python, Visualization tool","Mountain View, CA",4 months ago
,,,
,,,
WinMax,Data Analyst II,"Cupertino, CA",3 months ago
WinMax,Data Analyst I,"Cupertino, CA",3 weeks ago
WinMax,Data Analyst III,"Cupertino, CA",3 months ago
ICONMA,Data Analyst,"Mountain View, CA",2 days ago
Doximity,Business Intelligence Analyst,San Francisco Bay Area,2 weeks ago
Zoom,Media Data Analyst Engineer,"San Jose, CA",3 days ago
Albertsons Companies,Sr. Audience Insights Analyst- Premier,"Pleasanton, CA",
Enexus Global Inc.,"Data Analyst (W2 only - No OPT and H1B) - Mountain view, CA(hybrid)","Mountain View, CA",2 weeks ago
,,,
Stanford University,Research Data Analyst (Hybrid),"Stanford, CA",1 month ago
"Ursus, Inc.",Data Analyst 3,"San Jose, CA",1 week ago
Russell Tobin,Data Analyst 3,"San Jose, CA",1 week ago
Stanford University School of Medicine,Research Data Analyst (Hybrid),"Stanford, CA",1 month ago
Accenture,^Data & Reporting Analyst - 5223635,"Mountain View, CA",2 days ago
Affirm,Quantitative Analyst II,"San Jose, CA",1 month ago
ICONMA,Data Engineer II,"Cupertino, CA",1 month ago
West End Workforce,Data Modeler,"Fremont, CA",
Stanford University,Bioinformatician/Research Data Analyst 1,"Stanford, CA",1 year ago
Kaiser Permanente,Data Reporting and Analytics Consultant II,"Pleasanton, CA",1 day ago
Kaiser Permanente,Data Reporting and Analytics Consultant II,"Pleasanton, CA",2 days ago
Cynet Systems,Data Science Analyst,"Fremont, CA",3 weeks ago
HCLTech,"Data Engineer - Swift, Python","Cupertino, CA",3 weeks ago
CrowdStrike,"Data Warehouse, Data Analyst (Remote)","Sunnyvale, CA",3 weeks ago
Meta,"Workforce Analyst, Mission Control Analytics","Menlo Park, CA",1 month ago
Walmart,"(USA) Staff, Data Engineer","Sunnyvale, CA",2 days ago
Bayside Solutions,Data Infrastructure Engineer,"Cupertino, CA",2 weeks ago
GSBOA,Specialist,"Sunnyvale, CA",5 months ago
Uptime.com,General Application - Explore Opportunities at Uptime.com,"Palo Alto, CA",3 weeks ago
1872 Consulting,Data Engineer,"Campbell, CA",3 months ago
Analog Devices,Staff Data Engineer,"San Jose, CA",2 weeks ago
San Francisco Health Plan,Business Systems Analyst,San Francisco Bay Area,2 weeks ago
Walmart,"Senior, Data Engineer","Sunnyvale, CA",2 days ago
eBay,Applied Researcher 2,"San Jose, CA",3 weeks ago
Primary Talent Partners,Data Engineer,"San Jose, CA",1 day ago
LinkTMS,"Senior Data Engineer  - Sunnyvale, CA - 12+ Months","Sunnyvale, CA",4 months ago
Nesco Resource,Global Market Insight Analyst - (remote),"Pleasanton, CA",1 month ago
Russell Tobin,Data Engineer II,"Cupertino, CA",1 month ago
"TalentBurst, an Inc 5000 company",Data Engineer II,"Cupertino, CA",1 month ago
Intuitive,"Data Engineer (Hybrid: Santa Clara, CA) W2 Only","Santa Clara, CA",1 month ago
CENTSTONE SERVICES LLC,"Data Engineer (Google Cloud, SPARK, JAVA)","Sunnyvale, CA",3 months ago
RICEFW Technologies Inc,"Business Analyst-(Information Systems,Business Administration)-Onsite-CA-Sunnyvale","Sunnyvale, CA",
Walmart,"Senior, Data Engineer","Sunnyvale, CA",2 days ago
LinkedIn,Senior Data Engineer - Data Science,"Sunnyvale, CA",2 weeks ago
,,,
GSBOA,Specialist,"Sunnyvale, CA",5 months ago
Diverse Lynx,Data Engineer,"Sunnyvale, CA",2 months ago
Meta,Central Investigations Analyst,"Menlo Park, CA",1 week ago
Planar,Applications Engineer - California,"San Jose, CA",2 weeks ago
Zivahh LLC,Data Center Infrastructure Deployment Engineer,"Milpitas, CA",2 months ago
"Amick Brown - SAP, Cloud Technologies and Business Intelligence Staffing & Consulting",Business Systems Analyst,"Santa Clara, CA",5 months ago
,,,
Agile Datapro,SQL Developer Business Analyst,"San Jose, CA",1 day ago
Info Way Solutions,Tableau Consultant,"Fremont, CA",2 months ago
Yohana,Consumer Insights Lead,San Francisco Bay Area,2 weeks ago
GSBOA,Specialist,"Sunnyvale, CA",4 months ago
GSBOA,Specialist,"Sunnyvale, CA",4 months ago
GSBOA,Specialist,"Sunnyvale, CA",4 months ago
GSBOA,Specialist,"Sunnyvale, CA",4 months ago
GSBOA,Specialist,"Sunnyvale, CA",5 months ago
GSBOA,Specialist,"Sunnyvale, CA",5 months ago
GSBOA,Specialist,"Sunnyvale, CA",5 months ago
,,,
Intuit,Staff Business Systems Analyst,"Mountain View, CA",1 month ago
Stanford University School of Medicine,Biostatistician,"Stanford, CA",4 months ago
GSBOA,Specialist,"Sunnyvale, CA",2 months ago
GSBOA,Specialist,"Sunnyvale, CA",2 months ago
GSBOA,Specialist,"Sunnyvale, CA",2 months ago
GSBOA,Specialist,"Sunnyvale, CA",2 months ago
GSBOA,Specialist,"Sunnyvale, CA",2 months ago
,,,
GSBOA,Specialist,"Sunnyvale, CA",2 months ago
GSBOA,Specialist,"Sunnyvale, CA",2 months ago
GSBOA,Specialist,"Sunnyvale, CA",2 months ago
GSBOA,Specialist,"Sunnyvale, CA",2 months ago
GSBOA,Specialist,"Sunnyvale, CA",3 months ago
GSBOA,Specialist,"Sunnyvale, CA",3 months ago
GSBOA,Specialist,"Sunnyvale, CA",3 months ago
GSBOA,Specialist,"Sunnyvale, CA",3 months ago
GSBOA,Specialist,"Sunnyvale, CA",3 months ago
GSBOA,Specialist,"Sunnyvale, CA",3 months ago
GSBOA,Specialist,"Sunnyvale, CA",3 months ago
GSBOA,Specialist,"Sunnyvale, CA",3 months ago
GSBOA,Specialist,"Sunnyvale, CA",3 months ago
GSBOA,Specialist,"Sunnyvale, CA",3 months ago
Diverse Lynx,Data Engineer - Databricks,San Francisco Bay Area,2 months ago
1872 Consulting,Infrastructure & Data Engineer,"Soquel, CA",3 months ago
Santa Clara Family Health Plan,Application Developer I/II/III,"San Jose, CA",2 months ago
Cephas Consultancy Services Private Limited,AI Systems Engineer 24002,"San Jose, CA",3 days ago
TikTok,Senior Payroll Analyst - San Jose,"San Jose, CA",2 months ago
MillenniumSoft Inc,Global Regulatory Compliance Data Analyst (Mathematics Knowledge),"San Jose, CA",3 weeks ago
TikTok,"Tech Lead Data Engineer, Data Services","San Jose, CA",5 days ago
Roku,Senior Corporate Accounting Revenue Analyst,"San Jose, CA",1 month ago
Adobe,"Principal, DX Web Analytics & Insights","San Jose, CA",1 month ago
Diverse Lynx,Data Engineer - Databricks,San Francisco Bay Area,2 months ago
