company_name,job_title,location,num_applicants
Cardio Diagnostics Holdings Inc.,"Data Scientist, HEOR & RWE","Chicago, IL",1 day ago
,,,
VARITE INC,Data Scientist,"Alhambra, CA",
Replicate,Machine Learning Engineer,"San Francisco, CA",1 week ago
Caterpillar Inc.,Data Scientist,"Chicago, IL",2 days ago
HR Force Int.,Data Scientist,"New York, NY",3 weeks ago
"TechFlow, Inc.",Data Scientist,"Arlington, VA",2 months ago
"Paradyme, Inc.",Data Scientist / ML Engineer,"Redwood City, CA",6 days ago
,,,
Elder Research,Data Scientist 1,"Arlington, VA",1 week ago
"FocusKPI, Inc.",Data Scientist - Measurement Modeling,"San Bruno, CA",1 week ago
JetBlue,IT Data Scientist,"New York, NY",1 day ago
PayPal,Data Scientist,"Rhode Island, United States",
Citian,Data Scientist,"Washington, DC",3 days ago
CalTex,Data Scientist,"Schertz, TX",1 day ago
Insight Global,Data Scientist,"Pittsburgh, PA",1 week ago
Emancro,Machine Learning Engineer,"Berkeley, CA",1 week ago
Alpha Net,Data Scientist II,"Atherton, CA",
PayPal,Data Scientist,"Maryland, United States",
SynergisticIT,Junior Data Scientist - Remote,"Columbus, OH",1 week ago
,,,
Orbit Recruitment Group,Machine Learning Engineer - Remote,"Chicago, IL",1 week ago
Bosch USA,Machine Learning Operations Engineer,"Sunnyvale, CA",1 week ago
Vizit,"Senior Data Scientist, E-commerce","Boston, MA",3 days ago
"IRS, Office of Chief Counsel",Data Scientist,"Idaho Falls, ID",1 week ago
,,,
Lennar,Data Scientist,"Dallas, TX",1 week ago
SPAN,Data Scientist,"San Francisco, CA",2 months ago
VanderHouwen,Machine Learning Engineer,United States,1 day ago
PayPal,Data Scientist,"South Carolina, United States",
Rivian,"Machine Learning Engineer, Perception, Autonomy","Palo Alto, CA",1 week ago
Brooksource,Senior Data Scientist,"Bloomfield, CT",2 days ago
"Gardner Resources Consulting, LLC",Senior Data Scientist,"Massachusetts, United States",1 day ago
Solü Technology Partners,Data Scientist/Digital Pathology,"Oro Valley, AZ",2 days ago
"Triunity Software, Inc.",Data Scientist,"Los Angeles, CA",6 days ago
Walmart,"(USA) Senior, Data Scientist - ML Engineer","Sunnyvale, CA",2 days ago
Syntricate Technologies,Data Scientist,"Dallas, TX",3 days ago
Walmart,"Senior, Data Scientist","Bellevue, WA",2 days ago
Syntricate Technologies,Data Scientist,"Nashua, NH",1 month ago
IT Associates,Machine Learning Engineer ( MLFlow / Azure ML / DevOps),"Michigan, United States",1 week ago
,,,
Robinhood,"Senior Data Scientist Analytics, Crypto","New York, NY",1 week ago
USDA,Senior Interdisciplinary (Data Scientist),"Indiana, United States",2 days ago
"Ursus, Inc.",Data Scientist,"San Francisco, CA",1 week ago
Intelliswift Software,"Data Scientist, Product Insights","San Francisco, CA",1 month ago
University of Pittsburgh,Data Scientist,"Pittsburgh, PA",1 week ago
Energy Jobline,Data Scientist as Team Lead Data Management Energy,"Hanover, MD",
New Light Technologies,Senior Data Scientist,United States,2 days ago
,,,
Meta,"Data Scientist, Messenger","Menlo Park, CA",1 week ago
,,,
hackajob,AI/ML Engineer,"McLean, VA",2 days ago
Vaco,Sr. Data Scientist (HYBRID in ATLANTA!),"Vinings, GA",5 days ago
Pacific Gas and Electric Company,Principal Data Scientist,"Oakland, CA",2 days ago
eTeam,Data Scientist,"Goodlettsville, TN",1 day ago
,,,
MethodHub,Senior Machine Learning Engineer,"San Jose, CA",2 days ago
Unum,Marketing Analytics- Data Scientist 1,"Columbia, SC",1 week ago
Axle,Health Data Scientist,"Durham, NC",1 week ago
Crystal Equation Corporation,Data Scientist V,"Menlo Park, CA",1 week ago
,,,
Syntax Data,Machine Learning Engineer,United States,3 days ago
Yale University,People Data Scientist (87944BR),"New Haven, CT",2 days ago
Walmart,"Staff, Data Scientist","Dallas, TX",2 days ago
Diverse Lynx,Data Scientist,"New York, NY",1 month ago
Tiger Analytics,Principal Data Scientist,"Dallas, TX",1 month ago
,,,
Deltek,Generative AI Data Scientist,United States,1 week ago
Reuters News Agency,Data Scientist,"McLean, VA",2 days ago
Walmart,"(USA) Staff, Data Scientist","Sunnyvale, CA",
BTI360,ML Ops Engineer,"Herndon, VA",2 days ago
,,,
Diasorin,Clinical Data Scientist,"Austin, TX",1 week ago
Walmart,"Senior, Data Scientist(MLE)","Sunnyvale, CA",2 days ago
SynergisticIT,Data Analyst/Scientist/Engineer - Entry/Junior Level,"Fresno, CA",
Visa,Senior Data Scientist,"Washington, DC",1 day ago
maven,Lead Machine Learning Engineer,Greater Chicago Area,1 day ago
,,,
SynergisticIT,junior developer/data scientist,"Alpharetta, GA",
QinetiQ US (formerly Avantus Federal),Data Scientist,"Chantilly, VA",1 week ago
,,,
Opinion Dynamics,Associate Lead Data Scientist,"Waltham, MA",2 days ago
Booz Allen Hamilton,Data Scientist,"Patuxent River, MD",2 days ago
SynergisticIT,junior developer/data scientist,"Thousand Oaks, CA",
R1 RCM,Data Scientist III,United States,2 days ago
BioSpace,Biologist - Neurodegeneration,"Indianapolis, IN",2 days ago
AAA Club Alliance,Machine Learning Engineer,"Wilmington, DE",3 days ago
,,,
"Pinnacle Group, Inc.",QA AI/ML Engineer,"Cupertino, CA",
Phoenix Cyber,Python Developer [Job ID 20240425],"Washington, DC",1 day ago
