company_name,job_title,location,num_applicants
Rearc,Lead Data Engineer,"New York, NY",3 weeks ago
Recidiviz,Product Analyst,"New York, NY",3 months ago
Harnham,Lead Data Engineer,"New York, United States",3 weeks ago
Quizlet,"Engineering Manager, Analytics","New York, NY",2 days ago
Marlee (Fingerprint For Success),Expression of Interest: Computer Programmer,"New York, NY",3 weeks ago
,,,
Scope3,Senior Data Scientist,"New York, NY",1 week ago
StubHub,Strategy Associate - Product,"New York, NY",1 month ago
Five Cubes,Senior Data Solution and Delivery Engineer,"Brooklyn, NY",2 months ago
Instagram,"Data Science Manager, Instagram Growth","New York, NY",1 week ago
Tempus AI,"Sr. Data Scientist, RWE","New York, NY",1 month ago
Marlee (Fingerprint For Success),Expression of Interest: Senior DevOps Engineer,"New York, NY",1 week ago
Bankrate,Senior CX Analyst,"New York, NY",2 weeks ago
Duolingo,Senior Data Science Manager,"New York, NY",3 weeks ago
BAMM Staffing,Cloud Developer,"New York, NY",2 weeks ago
,,,
Grammarly,"Machine Learning Engineer, Growth","New York, United States",1 week ago
SiriusXM,Senior Product Analyst,"New York, NY",6 days ago
Marlee (Fingerprint For Success),Expression of Interest: Full-Stack Engineer,"New York, NY",1 week ago
Vitally.io,Engineering Manager,"New York, NY",2 months ago
Clear Street,Senior Data Engineer - Trading Systems,"New York, NY",2 weeks ago
New York Institute of Technology,Adjunct Faculty - Quantitative Analysis,"Old Westbury, NY",6 months ago
Madhive,Staff Engineer - Data Engineering,"New York, NY",1 month ago
CVS Health,Senior Data Scientist - Product Platform,"New York, NY",2 weeks ago
,,,
Omnicom Media Group,Technical Data Product Manager – Enterprise Data & Analytics,"New York, NY",1 month ago
New York Institute of Technology,Enrollment Systems Analyst,"Old Westbury, NY",1 month ago
Smarsh,"Manager, Machine Learning Engineering","New York, United States",1 day ago
Amazon Web Services (AWS),Strategic Planning and Operations Analyst,"New York, NY",3 weeks ago
Amazon Web Services (AWS),Strategic Planning and Operations Analyst,"New York, NY",3 weeks ago
myGwork - LGBTQ+ Business Community,"Senior Software Engineer, Data Strategy","New York, United States",1 month ago
Rokt,"Senior Principal Product Manager, Targeting","New York, NY",1 day ago
,,,
Meta,"Product Manager, Monetization","New York, NY",4 days ago
Google,"Senior Product Manager, Gemini","New York, NY",
Tradeweb,Security Operations Engineer,"New York, NY",1 month ago
Coursedog,"Software Engineer, Integrations","New York, NY",2 weeks ago
Bloomberg,Machine Learning Team Lead - Artificial Intelligence,"New York, NY",1 week ago
WSP in the U.S.,Analytics and Insights Student 1 - Summer 2024,"New York, NY",2 weeks ago
Landing Point,AI/ML – NLP Engineer – Vice President,"New York, NY",1 week ago
sennder,Staff Machine Learning Engineer,"Greece, NY",3 weeks ago
GoodRx,Principal Software Engineer (Data),"New York, NY",1 month ago
,,,
myGwork - LGBTQ+ Business Community,"Sr. Applied Scientist, Sponsored Products, Amazon","New York, United States",1 week ago
JPMorgan Chase & Co.,Large Language Model (LLM) Engineering Lead - Vice President,"New York, NY",1 day ago
RemoteWorker US,"Senior Manager, Generative AI Product Engineering - People Leader - (Remote Eligible)","Ronkonkoma, NY",1 day ago
NBCUniversal,"Director of Product, Generative AI & Search, Global Streaming","New York, NY",3 weeks ago
Diverse Lynx,"Sr. Data Architect Azure & Databricks @ NYC, NY","New York, NY",6 months ago
,,,
Vesta,Project Manager- Real Estate/ Staging,"New York, NY",1 month ago
ClickJobs.io,"Senior Manager, Data Science - Business Card & Payments","New York, NY",3 days ago
Regal.io,Senior Product Manager,"New York, NY",3 months ago
myGwork - LGBTQ+ Business Community,"Senior Anaplan Developer, AWS Industries","New York, United States",1 month ago
MassMutual,"Technical Product Manager, Data Science","New York, NY",4 weeks ago
Schonfeld,2024 Sector Data Analyst Sophomore Summer Internship,"New York, NY",1 month ago
American Express,Senior Associate Product Owner,"New York, NY",2 weeks ago
myGwork - LGBTQ+ Business Community,"Software Dev Engineer, BDT Compute-Engine","New York, United States",1 week ago
Paramount,Senior Director Software Engineer - Advanced Advertising,"New York, NY",3 days ago
Meta,Software Engineer - Data Center Networking,"New York, NY",1 month ago
myGwork - LGBTQ+ Business Community,"Sr. Software Development Engineer, ADSP: Forecasting","New York, United States",1 month ago
