company_name,job_title,location,num_applicants
Chime,Business Intelligence Engineer,"San Francisco, CA",6 days ago
"FocusKPI, Inc.",Junior Data Analyst,"San Francisco, CA",3 weeks ago
San Francisco Health Plan,Insights Data Analyst,"San Francisco, CA",1 month ago
Meta,"Data Engineer, Analytics","Burlingame, CA",1 month ago
Airtable,Analytics Engineer,"San Francisco, CA",1 week ago
"Unreal Staffing, Inc",Senior Data Analyst,"San Francisco, CA",2 weeks ago
Cash App,Senior Business Intelligence Engineer,"San Francisco, CA",1 week ago
"Unreal Staffing, Inc",Senior Data Analytics Consultant,"San Francisco, CA",2 weeks ago
Meta,"Data Engineer, Product Analytics","San Francisco, CA",1 month ago
MainStreet,Senior Data Analyst,"San Francisco, CA",5 months ago
PagerDuty,Marketing Data Analyst - San Francisco,"San Francisco, CA",2 weeks ago
"Unreal Staffing, Inc",Lead Statistical Analyst,"San Francisco, CA",2 weeks ago
"Unreal Staffing, Inc",Data Scientist,"San Francisco, CA",1 week ago
"Unreal Staffing, Inc",Senior Predictive Modeler,"San Francisco, CA",2 weeks ago
LinkedIn,Product Manager - Company Pages,"San Francisco, CA",1 month ago
Lyft,"Data Scientist, Decisions - Livery","San Francisco County, CA",1 month ago
CGS Federal (Contact Government Services),Data Engineer,"San Francisco, CA",3 days ago
"Unreal Staffing, Inc",Senior Quantitative Analyst,"San Francisco, CA",2 weeks ago
"Unreal Staffing, Inc",Lead Predictive Modeler,"San Francisco, CA",2 weeks ago
"Blue Current, Inc.","Sr. Manager, Data Systems Engineering","Hayward, CA",10 months ago
SynergisticIT,Junior Full-Stack Developer,"Berkeley, CA",3 weeks ago
"Unreal Staffing, Inc",Software Engineer,"San Francisco, CA",1 week ago
JumpCloud,Principal Data Engineer - United States,"San Francisco, CA",1 month ago
SynergisticIT,Entry Level Software Developer,"San Francisco, CA",2 months ago
Fractal,Senior Data Scientist,"Redwood City, CA",3 weeks ago
Stripe,"Accounting Data Analyst, Product Accounting","San Francisco, CA",4 days ago
minware,Junior Back End Engineer,"San Francisco, CA",2 months ago
Square,"Machine Learning Engineer, Banking & Square Financial Services","San Francisco, CA",1 week ago
Coinbase,Senior Data Engineer,"San Francisco, CA",1 month ago
Luminai,Machine Learning Engineer,"San Mateo, CA",1 month ago
InMobi,"Sr. Staff Data Scientist, DSP.","San Mateo, CA",2 weeks ago
"Unreal Staffing, Inc",Lead Data Architect,"San Francisco, CA",2 weeks ago
SnapMagic,Growth Lead,"San Mateo, CA",4 months ago
"Donato Technologies, Inc.",Anaplan Model Builder,"San Francisco, CA",2 weeks ago
Tonal,"Senior Product Manager, AI and Insights","San Francisco, CA",3 months ago
Mercury,Director of Data,"San Francisco, CA",3 weeks ago
T&P𝑚,"Director, Analytics","San Francisco, CA",1 week ago
Mill,"Software Engineer, Full Stack","San Bruno, CA",3 months ago
Speak,Product Analyst,"San Francisco, CA",2 months ago
Hazel Health,Infrastructure Engineer,"San Francisco, CA",2 months ago
Fanatics,Senior Director - Search Engineering,"San Mateo, CA",1 month ago
Cognizant,AI Research Scientist,"San Francisco, CA",1 week ago
Walmart Connect,"(USA) Staff, Product Manager, Sponsored Products - AI/ML (Ad Relevancy, Recommendations, Predictions) - Walmart Connect","San Bruno, CA",3 weeks ago
Select Star,Senior Product Engineer,"San Francisco, CA",1 month ago
Databricks,Sr. Software Engineer - Performance,"San Francisco, CA",1 month ago
Kargo,Backend Engineer,"San Francisco, CA",10 months ago
StackedSP,"Series A, Sales Intelligence Startup: Senior/Staff Core Platform Engineer","San Francisco, CA",2 weeks ago
Energy Solutions,Associate Director of Emerging Energy Technologies (Remote - US),"Oakland, CA",2 months ago
Slickdeals,Sr. Growth Engineer,"San Mateo, CA",1 week ago
Zoox,"Senior Manager, Technical Product Managers - A.I. & Robotic Systems","Foster City, CA",1 month ago
Pulley,Senior Product Manager,"San Francisco, CA",1 week ago
Slickdeals,"Sr. Data Infrastructure Engineer, Search & Discovery","San Mateo, CA",1 month ago
Diverse Lynx,Data Scientist,"San Francisco, CA",2 months ago
Agoda,"Business Intelligence Developer, New Funnel team (Bangkok based, relocation provided)","San Francisco, CA",1 week ago
Procyon Technostructure,Product Manager,"San Francisco, CA",3 weeks ago
Meta,"Product Manager, Reality Labs","Burlingame, CA",2 days ago
Agoda,"Business Intelligence Developer, New Funnel team (Bangkok based, relocation provided)","Oakland, CA",1 week ago
Accenture,Analytics Advisor - 5258697,"Walnut Creek, CA",5 days ago
Rippling,Director of Engineering - Machine Learning and AI,"San Francisco, CA",2 months ago
Legalist,"Financial Analyst, DIP Finance","San Francisco, CA",3 weeks ago
