company_name,job_title,location,num_applicants
,,,
Starbucks,data scientist - supply chain,"Seattle, WA",3 weeks ago
Intelliswift Software,Business Intelligence Engineer I,"Seattle, WA",
Meta,"Data Engineer, Analytics","Redmond, WA",1 month ago
Meta,"Data Engineer, Analytics","Bellevue, WA",1 month ago
Meta,"Data Engineer, Analytics","Seattle, WA",1 month ago
Microsoft,Data Engineer,"Redmond, WA",
Hootsuite,"Director, Data Analytics","Seattle, WA",
Aditi Consulting,Business Intelligence Engineer,"Bellevue, WA",2 days ago
Chewy,Business Intelligence Engineer III,"Bellevue, WA",2 days ago
myGwork - LGBTQ+ Business Community,"Business Intelligence Engineer, SCOT-FO","Bellevue, WA",1 week ago
Sia Partners,Data Engineer,"Bellevue, WA",2 weeks ago
myGwork - LGBTQ+ Business Community,"Senior BIE, Speed Analytics, Speed Products, Science and Analytics","Bellevue, WA",1 month ago
Amazon Web Services (AWS),"BI Engineer, AWS Kumo Analytics","Seattle, WA",3 weeks ago
myGwork - LGBTQ+ Business Community,"Business Intelligence Engineer II, Amazon Publisher Monetization, Analytics","Seattle, WA",3 days ago
,,,
,,,
,,,
Electronic Arts (EA),Business Systems Analyst,"Seattle, WA",1 week ago
SynergisticIT,Remote Data Scientist/Analyst (Entry/Junior Level),"Bellevue, WA",2 months ago
Rad Hires,Senior Data Scientist,Greater Seattle Area,2 weeks ago
Amazon,"Data Engineer, Seller Trust Analytics","Seattle, WA",3 weeks ago
Uber,Sr. Data Scientist - Consumer Pricing & Incentives,"Seattle, WA",1 month ago
SynergisticIT,Software Engineer - Junior Level,"Seattle, WA",2 months ago
myGwork - LGBTQ+ Business Community,"Sr. Business Intelligence Engineer, Books Content Demand","Seattle, WA",1 month ago
Providence Digital Innovation Group,Director Product Analytics,"Seattle, WA",2 months ago
Amazon,"Senior Business Intelligence Engineer, NA Engineering, Last Mile","Bellevue, WA",3 weeks ago
Amazon,"Sr. DE: Multiple Location, US","Bellevue, WA",3 weeks ago
minware,Junior Front End Engineer,"Seattle, WA",2 weeks ago
SoFi,"Staff Software Engineer, Data Platform","Seattle, WA",1 month ago
Keylent Inc,Software Developer (Snowflake and AWS MAHIN--JOB-31743,"Seattle, WA",1 month ago
TekWissen ®,Data Engineer III,"Seattle, WA",3 weeks ago
