company_name,job_title,location,num_applicants
Notion,"Data Scientist, Marketing","San Francisco, CA",3 days ago
Notion,"Data Scientist, Monetization","San Francisco, CA",3 days ago
"Unreal Staffing, Inc",AI/ML Data Scientist,"San Francisco, CA",2 weeks ago
Meta,"Data Scientist, Product Analytics","San Francisco, CA",
Grindr,ML Engineer (Entry Level),"San Francisco, CA",1 month ago
,,,
"Unreal Staffing, Inc",Data Scientist,"San Francisco, CA",2 weeks ago
Yard Stick PBC,Data Scientist,"Oakland, CA",4 weeks ago
Stripe,Data Scientist,"San Francisco, CA",3 days ago
Lever Middleware Test Company 2,Data Scientist,"San Francisco, CA",4 months ago
"Triunity Software, Inc.",Artificial Intelligence Engineer,"Alameda, CA",2 days ago
"Ursus, Inc.",Data Scientist,"San Francisco, CA",1 month ago
Handshake,Senior Data Scientist - Product Analytics,"San Francisco, CA",1 month ago
Radiant Security,Machine Learning Engineer,"San Francisco, CA",1 week ago
ICONMA,Data Scientist,"Foster City, CA",2 months ago
,,,
Cash App,Machine Learning Engineer (Modeling) - Support AI Tooling,"San Francisco, CA",3 weeks ago
BDO USA,AI & ML Engineer,"San Francisco, CA",1 month ago
"Unreal Staffing, Inc",AI Algorithm Engineer,"San Francisco, CA",2 weeks ago
,,,
,,,
Thumbtack,"Lead Data Scientist, Business Analytics","San Francisco, CA",3 weeks ago
Tata Consultancy Services,Data Scientist,"San Francisco, CA",1 month ago
Zuora,Senior Data Scientist,"Redwood City, CA",1 month ago
"Unreal Staffing, Inc",Lead Machine Learning Engineer,"San Francisco, CA",2 weeks ago
"Unreal Staffing, Inc",Full-Stack Engineer with ML/AI Experience,"San Francisco, CA",2 weeks ago
"Unreal Staffing, Inc",Full-Stack Engineer with ML/AI Experience,"San Francisco, CA",2 weeks ago
AutoGrid,Senior Data Scientist - Optimization,"Redwood City, CA",4 months ago
"Unreal Staffing, Inc",Lead Machine Learning Engineer,"San Francisco, CA",2 weeks ago
Walmart,"Senior, Data Scientist - Social Commerce","San Bruno, CA",2 days ago
CryptoRecruit,Lead Engineer - Machine Learning - World Renowned AI Company - Remote Work,"San Francisco, CA",
Sony Interactive Entertainment,Machine Learning Engineer for Game Technology,"San Mateo, CA",7 months ago
FLYR,Principal Data Scientist,"San Francisco, CA",3 weeks ago
1872 Consulting,Lead Data Scientist,"San Francisco, CA",3 months ago
Parafin,Data Scientist (Experienced),"San Francisco, CA",1 month ago
,,,
Wispr AI,"ML Research Engineer, Foundation Models","San Francisco, CA",5 months ago
SynergisticIT,Junior Data Analyst/Engineer/Scientist - Remote,"San Francisco, CA",4 weeks ago
Canonical,AI/ML and MLOps Field Engineer,"San Francisco, CA",3 weeks ago
Diverse Lynx,Machine Learning Engineer/AI Engineer,"San Francisco, CA",1 week ago
FreightVerify Inc,Senior AI Engineer,"San Francisco, CA",2 years ago
,,,
Agtonomy,Software Engineer - Machine Learning and Infrastructure,"South San Francisco, CA",2 months ago
ecocareers,VIE - Machine Learning Engineer,"Orinda, CA",
Discord,Software Engineer - Safety Processing,"San Francisco, CA",1 month ago
InMobi,"Sr. Staff Data Scientist, DSP.","San Mateo, CA",2 weeks ago
Atlassian,"Principal Data Scientist, WM4A (Work Management For All)","San Francisco, CA",1 month ago
DoorDash,"Autonomy Engineer, Remote Assistance - Labs","San Francisco, CA",1 month ago
,,,
,,,
Lutris Wireless,Senior Software Engineer,"Berkeley, CA",3 days ago
LaunchDarkly,Senior Data Scientist / Applied Statistician,"Oakland, CA",1 month ago
,,,
"Unreal Staffing, Inc",Safety Software Engineer,"San Francisco, CA",1 day ago
"Unreal Staffing, Inc",Safety Software Engineer,"San Francisco, CA",1 day ago
Marlee (Fingerprint For Success),Expression of Interest: Backend Engineer,"San Francisco, CA",1 month ago
Meta,Research Engineer - Reality Labs,"Burlingame, CA",1 month ago
Block,"Deep Learning Research Scientist, Dessa","San Francisco, CA",1 month ago
BioSpace,"Senior Engineer, Machine Learning - Chemistry","Hayward, CA",1 day ago
Safeway,Front End Entry Level,"San Francisco, CA",2 days ago
Lanai Software,"Software Engineer, Machine Learning (Senior - Staff)","San Francisco, CA",1 month ago
CoinList,"Software Engineer, Trading","San Francisco, CA",2 weeks ago
Attentive,Staff Machine Learning Engineer,"San Francisco, CA",1 month ago
Meta,"Research Scientist, Sensors and Systems Research (PhD)","Burlingame, CA",1 month ago
Stripe,"Full Stack Engineer, Efficiency","San Francisco, CA",2 days ago
,,,
Diverse Lynx,Python Developer,"San Francisco, CA",2 months ago
Meta,AI Research Scientist - Language (Technical Leadership),"San Francisco, CA",1 month ago
Column,Software Engineer (Product),"San Francisco, CA",1 month ago
Lever Middleware Test Company 2,Software Engineer,"San Francisco, CA",4 months ago
Lever Middleware Test Company 2,Software Engineer,"San Francisco, CA",4 months ago
MindPal,Fullstack Developer (Node.JS & React),"San Francisco, CA",7 months ago
Superpowered (YC W21),Founding Engineer,"San Francisco, CA",1 week ago
,,,
Tecton,"Software Engineer, Compute","San Francisco, CA",3 days ago
minware,Junior Back End Engineer,"San Francisco, CA",1 month ago
Vaxcyte,"Associate Scientist I, Conjugation Development","San Carlos, CA",1 week ago
MindPal,"JS (React, Node.JS) Developer","San Francisco, CA",8 months ago
Figma,"Software Engineer, FigJam","San Francisco, CA",3 days ago
OnHires,FrontEnd Developer (React/Next/TS),"San Francisco, CA",5 days ago
