company_name,job_title,location,num_applicants
Flexon Technologies Inc.,Junior Data Scientist,"Pleasanton, CA",4 weeks ago
Netflix,"Data Scientist (L5) - Applied Research, Consumer Insights","Los Gatos, CA",2 weeks ago
,,,
Netflix,Data Scientist (L5) - Title & Launch Management,"Los Gatos, CA",1 day ago
Marlee (Fingerprint For Success),Expression of Interest: Data Scientist,"San Jose, CA",3 weeks ago
Meta,"Data Scientist, Small Business Group","Menlo Park, CA",1 month ago
Meta,"Data Scientist, Product Analytics","Menlo Park, CA",1 month ago
Meta,"Data Scientist, Product Analytics","Sunnyvale, CA",1 month ago
,,,
,,,
,,,
Illumio,Machine Learning Engineer 2,"Sunnyvale, CA",1 month ago
Pave,Senior Data Scientist,San Francisco Bay Area,2 months ago
Meta,Data Scientist - Global Business Product Marketing,"Menlo Park, CA",1 month ago
,,,
,,,
Fractal,Senior Data Scientist,"Redwood City, CA",2 weeks ago
Roc Search,Machine Learning Research Engineer,San Francisco Bay Area,2 weeks ago
TikTok,"Data Scientist- TikTok Ads, Brand Innovation","Mountain View, CA",1 month ago
,,,
,,,
TikTok,Data Scientist - Applied AI,"San Jose, CA",3 weeks ago
TikTok,"Data Scientist - Tiktok Ads, Ads Measurement","Mountain View, CA",1 month ago
Palo Alto Networks,Principal Machine Learning Engineer (Data Scientist - Wildfire),"Santa Clara, CA",2 days ago
,,,
Adobe,Machine Learning Engineer,"San Jose, CA",1 month ago
TikTok,TikTok Shop - Data Scientist,"San Jose, CA",1 month ago
Crystal Equation Corporation,Data Scientist V,"Menlo Park, CA",1 week ago
PayPal,"Senior Data Scientist, ML","San Jose, CA",4 days ago
TikTok,"Senior Data Scientist, TikTok Experience","San Jose, CA",1 month ago
Intuit,Staff Data Scientist,"Mountain View, CA",1 month ago
Provident Credit Union,Data Scientist,"Redwood City, CA",1 week ago
Diverse Lynx,Data Scientist,"San Jose, CA",3 weeks ago
TikTok,"Data Scientist- TikTok Ads, Ad Inventory & User Experience","Mountain View, CA",1 month ago
Applied Intuition,ML Engineer - Autolabeling,"Mountain View, CA",4 days ago
"Unreal Staffing, Inc",Full-Stack Engineer (with ML/AI Exposure),"San Jose, CA",2 weeks ago
MoTek Technologies,Machine Learning Software Engineer - LLM,"San Jose, CA",3 weeks ago
