company_name,job_title,location,num_applicants
Starbucks,data scientist - supply chain,"Seattle, WA",3 weeks ago
Microsoft,Data Scientist,"Redmond, WA",
Microsoft,Data Scientist,"Redmond, WA",
Resulticks,Data Scientist - Bellevue,"Bellevue, WA",4 months ago
Stripe,Data Scientist,"Seattle, WA",3 days ago
,,,
Meta,"Data Scientist, Product Analytics","Bellevue, WA",1 month ago
Meta,"Data Scientist, Product Analytics","Seattle, WA",1 month ago
DoorDash,"Data Scientist / Senior Data Scientist, Analytics","Seattle, WA",1 month ago
Meta,"Data Scientist, Product Analytics","Bellevue, WA",1 month ago
,,,
TikTok,TikTok Shop - Data Scientist,"Seattle, WA",2 months ago
,,,
Orchard,ML / CV Research Engineer,"Bellevue, WA",2 months ago
SpaceX,Data Scientist (Network Engineering),"Seattle, WA",2 weeks ago
Zepp Health,Senior Applied Scientist,"Seattle, WA",2 weeks ago
TikTok,"Data Scientist, Global Monetization Strategy & Analytics","Seattle, WA",2 months ago
TechWish,Data Scientist II,"Bellevue, WA",2 months ago
Rec Room,"Senior Data Scientist, Product Analytics","Seattle, WA",2 weeks ago
TikTok,TikTok Shop - Data Scientist,"Seattle, WA",2 months ago
Canonical,AI/ML and MLOps Field Engineer,"Seattle, WA",3 weeks ago
Coinbase,Machine Learning Engineer - Platform,"Seattle, WA",1 month ago
myGwork - LGBTQ+ Business Community,"Applied Scientist, Artificial General Intelligence","Bellevue, WA",1 month ago
People Tech Group Inc,Generative AI Developer,"Redmond, WA",2 days ago
Allen Institute,Scientist I - Bio-inspired Machine Learning,"Seattle, WA",1 month ago
"Logic20/20, Inc.",Senior Machine Learning Engineer,"Seattle, WA",1 week ago
GoodRx,Lead Data Scientist,"Seattle, WA",3 days ago
Truveta,Senior Machine Learning Engineer,Greater Seattle Area,1 week ago
ByteDance,Machine Learning Engineer - Machine Learning Infrastructure,"Seattle, WA",2 months ago
,,,
Storm2,Senior Machine Learning Engineer,Greater Seattle Area,1 week ago
HNTB,Data Scientist III,"Seattle, WA",1 month ago
Prime Video & Amazon Studios,"Senior Data Scientist, Prime Video - Discovery Science","Seattle, WA",3 weeks ago
TikTok,"Machine Learning Engineer, E-commerce Feed Recommendation","Seattle, WA",2 months ago
Diverse Lynx,"AI/ML Engineer / Data Scientist  : Redmond, WA","Redmond, WA",2 months ago
myGwork - LGBTQ+ Business Community,Data Scientist - Network Capacity Planning,"Seattle, WA",1 month ago
Adobe,Senior Machine Learning Engineer,"Seattle, WA",4 days ago
TikTok,"Machine Learning Engineer, Search - E-Commerce","Seattle, WA",2 weeks ago
Diverse Lynx,Sr. AI ML Engineer /Data Scientist,"Bellevue, WA",2 months ago
JPMorgan Chase & Co.,Data Scientist Lead,"Seattle, WA",1 month ago
FIS,Machine Learning Data Engineer Specialist,"Seattle, WA",1 day ago
TikTok,"Data Scientist, E-Commerce Governance - USDS","Seattle, WA",2 months ago
Proprio,Principal AI Engineer,Greater Seattle Area,5 days ago
TikTok,"Machine Learning Engineer, Web Ads and Open-loop E-Commerce","Seattle, WA",1 month ago
SynergisticIT,Data Scientist/ Java Developer,"Seattle, WA",2 months ago
Doctor,Software Development Engineer (Machine Learning),"Bellevue, WA",
